"","Sitio","Long","Lat","ViaSentido","DATA","VMD"
"65","01385104",-38.529821,-3.73178,"AV. DUQUE DE CAXIAS [L-O]","2017-01",12044
"66","01385105",-38.564167,-3.760223,"AV. JOSE BASTOS [S-N]","2017-01",25170
"67","01385107",-38.499864,-3.79707,"AV. OLIVEIRA PAIVA [L-O]","2017-01",21441
"68","01385108",-38.49986,-3.797262,"AV. DESEMBARGADOR GONZAGA [S-N]","2017-01",16703
"69","01385108",-38.49986,-3.79726,"AV. DESEMBARGADOR GONZAGA [S-N]","2017-01",16703
"70","01385109",-38.508849,-3.74173,"AV. BARAO DE STUDART [S-N]","2017-01",12724
"71","01385109",-38.508849,-3.741727,"AV. BARAO DE STUDART [S-N]","2017-01",12724
"72","01385110",-38.508768,-3.74167,"R. PADRE VALDEVINO [L-O]","2017-01",14067
"73","01385110",-38.508768,-3.741667,"R. PADRE VALDEVINO [L-O]","2017-01",14067
"74","01385113",-38.535179,-3.730051,"AV. DUQUE DE CAXIAS [L-O]","2017-01",12152
"75","01385113",-38.535179,-3.73005,"AV. DUQUE DE CAXIAS [L-O]","2017-01",12152
"76","01385115",-38.495486,-3.72747,"AV. DESEMBARGADOR MOREIRA [S-N]","2017-01",7973
"77","01385115",-38.495486,-3.727469,"AV. DESEMBARGADOR MOREIRA [S-N]","2017-01",7973
"78","01385116",-38.495594,-3.72737,"AV. DA ABOLICAO [O-L]","2017-01",26871
"79","01385116",-38.495594,-3.727367,"AV. DA ABOLICAO [O-L]","2017-01",26871
"80","01385117",-38.495233,-3.72725,"AV. DA ABOLICAO [L-O]","2017-01",23270
"81","01385117",-38.495233,-3.727249,"AV. DA ABOLICAO [L-O]","2017-01",23270
"82","01385118",-38.586189,-3.723891,"AV. CORONEL CARVALHO [S-N]","2017-01",13541
"83","01385118",-38.586189,-3.72389,"AV. CORONEL CARVALHO [S-N]","2017-01",13541
"84","01385119",-38.58634,-3.72368,"AV. CORONEL CARVALHO [N-S]","2017-01",10250
"85","01385124",-38.538968,-3.741061,"AV. 13 DE MAIO [L-O]","2017-01",17294
"86","01385124",-38.538968,-3.74106,"AV. 13 DE MAIO [L-O]","2017-01",17294
"87","01385125",-38.539239,-3.741124,"AV. DA UNIVERSIDADE [S-N]","2017-01",20492
"88","01385126",-38.539245,-3.740923,"AV. 13 DE MAIO [O-L]","2017-01",16480
"89","01385126",-38.539245,-3.74092,"AV. 13 DE MAIO [O-L]","2017-01",16480
"90","01385129",-38.520404,-3.7535,"AV. PONTES VIEIRA [L-O]","2017-01",23052
"91","01385131",-38.564232,-3.73543,"AV. OLAVO BILAC [N-S]","2017-01",8057
"92","01385131",-38.564232,-3.735429,"AV. OLAVO BILAC [N-S]","2017-01",8057
"93","01385134",-38.5848,-3.74849,"AV. CORONEL MATOS DOURADO [N-S]","2017-01",20070
"94","01385134",-38.5848,-3.748486,"AV. CORONEL MATOS DOURADO [N-S]","2017-01",20070
"95","01385148",-38.496523,-3.747202,"AV. SEN. VIRGILIO TAVORA [N-S]","2017-01",11520
"96","01385148",-38.496523,-3.7472,"AV. SEN. VIRGILIO TAVORA [N-S]","2017-01",11520
