 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"221039 São Miguel do Fidalgo";-;-;2;3;2;1;1;1;1;-;11
"221040 São Miguel do Tapuio";4;5;5;6;8;3;5;2;2;1;41
"221050 São Pedro do Piauí";8;5;3;3;4;3;5;4;1;7;43
"221060 São Raimundo Nonato";7;19;15;14;16;14;16;11;16;22;150
"221062 Sebastião Barros";-;-;1;-;1;-;-;-;-;-;2
"221063 Sebastião Leal";-;1;1;3;1;-;1;-;1;-;8
"221065 Sigefredo Pacheco";-;2;4;-;4;1;-;2;2;2;17
"221070 Simões";3;3;8;4;5;5;9;3;7;5;52
"221080 Simplício Mendes";1;5;10;9;9;8;10;5;4;2;63
"221090 Socorro do Piauí";3;1;4;-;1;3;1;2;-;1;16
"221093 Sussuapara";2;3;3;1;4;3;3;2;5;2;28
"221095 Tamboril do Piauí";-;-;1;-;-;-;-;-;-;-;1
"221097 Tanque do Piauí";2;2;-;1;2;-;1;1;1;2;12
"221100 Teresina";471;438;476;472;518;436;427;319;311;288;4156
"221110 União";9;9;13;12;8;11;9;9;9;11;100
"221120 Uruçuí";9;5;10;11;3;5;9;4;6;11;73
"221130 Valença do Piauí";8;15;15;17;12;18;13;5;5;9;117
"221135 Várzea Branca";-;-;-;-;1;-;2;1;-;-;4
"221140 Várzea Grande";1;2;5;3;-;-;2;1;2;-;16
"221150 Vera Mendes";-;-;-;4;1;4;1;2;2;1;15
"221160 Vila Nova do Piauí";2;1;1;4;3;1;-;4;-;1;17
"221170 Wall Ferraz";-;3;2;1;-;-;2;1;1;1;11
"220000 Município ignorado - PI";-;-;-;-;-;-;-;2;-;-;2
"230010 Abaiara";3;-;2;3;1;1;1;1;1;3;16
"230015 Acarape";-;2;5;3;2;4;2;4;1;-;23
"230020 Acaraú";26;9;12;15;23;21;12;19;20;13;170
"230030 Acopiara";21;12;23;8;9;14;14;9;14;14;138
"230040 Aiuaba";2;2;3;4;4;1;6;2;4;4;32
"230050 Alcântaras";2;3;2;1;6;4;3;2;2;-;25
"230060 Altaneira";1;-;2;-;-;-;1;-;3;2;9
"230070 Alto Santo";6;4;6;10;6;4;5;3;6;2;52
"230075 Amontada";9;11;14;11;16;11;8;4;10;9;103
"230080 Antonina do Norte";3;-;4;4;3;3;3;2;1;1;24
"230090 Apuiarés";2;1;2;1;1;2;6;2;2;1;20
"230100 Aquiraz";8;17;12;15;21;18;10;16;13;15;145
"230110 Aracati";14;9;15;11;13;11;7;6;7;11;104
"230120 Aracoiaba";4;5;7;5;-;7;6;5;4;6;49
"230125 Ararendá";3;2;3;2;-;3;3;5;3;4;28
"230130 Araripe";4;5;5;9;8;5;9;5;6;3;59
"230140 Aratuba";3;5;2;2;4;8;1;2;1;1;29
"230150 Arneiroz";2;4;5;4;4;7;3;5;4;3;41
"230160 Assaré";7;7;6;5;4;4;3;4;3;8;51
"230170 Aurora";4;2;4;1;2;1;2;-;6;2;24
"230180 Baixio";1;2;2;2;1;-;-;1;1;-;10
"230185 Banabuiú";3;2;2;5;2;2;-;1;1;1;19
"230190 Barbalha";106;130;110;119;69;50;42;51;18;16;711
"230195 Barreira";-;4;1;6;6;-;4;2;4;1;28
"230200 Barro";5;10;8;5;5;8;3;4;5;6;59
"230205 Barroquinha";1;3;3;2;2;1;3;1;-;1;17
"230210 Baturité";4;5;8;6;7;4;3;4;3;4;48
"230220 Beberibe";13;8;16;11;15;14;12;5;8;11;113
